gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000061603	Akap6	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
ENSMUSG00000069237	Fam8a1	15.0	22.0	36.0	5.0	30.0	10.0	10.0	5.0
ENSMUSG00000035246	Pcyt1b	3.0	2.0	5.0	0.0	11.0	0.0	5.0	1.0
ENSMUSG00000023939	Mrpl14	52.0	53.0	113.0	18.0	131.0	32.0	96.0	31.0
ENSMUSG00000098183	Gm27010	3.0	0.0	5.0	0.0	2.0	0.0	2.0	1.0
ENSMUSG00000048047	Zbtb33	61.0	54.0	119.0	19.0	107.0	24.0	67.0	21.0
ENSMUSG00000098557	Kctd12	18.0	27.0	66.0	16.0	35.0	9.0	29.0	7.0
ENSMUSG00000028392	Bspry	33.0	27.0	73.0	5.0	93.0	16.0	57.0	19.0
ENSMUSG00000000605	Clcn4	198.0	147.0	397.0	69.0	333.0	105.0	218.0	116.0
ENSMUSG00000030603	Psmc4	185.0	166.0	342.0	48.0	320.0	81.0	246.0	78.0
ENSMUSG00000021313	Ryr2	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0
ENSMUSG00000037236	Matr3	305.0	196.0	467.0	62.0	483.0	133.0	288.0	113.0
ENSMUSG00000028494	Plin2	48.0	35.0	83.0	18.0	87.0	22.0	57.0	26.0
ENSMUSG00000025888	Casp1	82.0	54.0	124.0	30.0	141.0	30.0	114.0	44.0
ENSMUSG00000035458	Tnni3	0.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0
ENSMUSG00000095990	Zfp97	4.0	7.0	13.0	2.0	8.0	8.0	9.0	6.0
ENSMUSG00000057163	Prss2	1.0	0.0	2.0	9.0	0.0	1.0	0.0	0.0
ENSMUSG00000041594	Tmtc4	39.0	23.0	68.0	14.0	56.0	9.0	58.0	9.0
ENSMUSG00000029267	Mtf2	286.0	225.0	588.0	82.0	537.0	141.0	334.0	131.0
ENSMUSG00000004328	Hif3a	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
ENSMUSG00000046096	Mosmo	111.0	69.0	183.0	22.0	168.0	32.0	151.0	39.0
ENSMUSG00000020553	Pctp	6.0	6.0	7.0	4.0	11.0	2.0	7.0	1.0
ENSMUSG00000102158	Gm34342	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000114689	Gm9465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000097296	Gm26532	74.0	45.0	89.0	20.0	111.0	33.0	55.0	25.0
ENSMUSG00000034371	Tkfc	17.0	9.0	29.0	2.0	23.0	8.0	13.0	7.0
ENSMUSG00000090124	Ugt1a7c	8.0	2.0	18.0	1.0	22.0	5.0	12.0	1.0
ENSMUSG00000055312	Them7	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ENSMUSG00000009112	Bcl2l13	116.0	88.0	204.0	39.0	221.0	41.0	140.0	54.0
ENSMUSG00000002475	Abhd3	3.0	2.0	4.0	1.0	7.0	0.0	5.0	2.0
ENSMUSG00000045746	B230317F23Rik	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0
ENSMUSG00000104607	Gm31651	0.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0
ENSMUSG00000078870	Gm14410	17.0	13.0	41.0	5.0	28.0	10.0	24.0	8.0
ENSMUSG00000044042	Fmn1	1.0	1.0	0.0	1.0	3.0	0.0	0.0	2.0
ENSMUSG00000032017	Grik4	4.0	1.0	1.0	1.0	5.0	1.0	4.0	0.0
