gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000087107	AI662270	2464.0	3138.0	2096.0	1466.0	3378.0	2757.0	3830.0	2039.0
ENSMUSG00000022075	Rhobtb2	199.0	229.0	166.0	107.0	288.0	185.0	270.0	179.0
ENSMUSG00000026594	Ralgps2	316.0	221.0	180.0	142.0	378.0	179.0	350.0	231.0
ENSMUSG00000024851	Pitpnm1	679.0	835.0	638.0	501.0	701.0	624.0	805.0	534.0
ENSMUSG00000097726	9530036O11Rik	16.0	7.0	7.0	9.0	11.0	2.0	10.0	6.0
ENSMUSG00000105085	Gm42567	6.0	11.0	10.0	4.0	4.0	13.0	15.0	11.0
ENSMUSG00000008429	Herpud2	760.0	974.0	671.0	514.0	897.0	828.0	1082.0	681.0
ENSMUSG00000025204	Ndufb8	8128.0	10975.0	7341.0	5335.0	11415.0	8757.0	12679.0	6867.0
ENSMUSG00000086228	Ubap1l	6.0	6.0	8.0	3.0	2.0	9.0	6.0	5.0
ENSMUSG00000031818	Cox4i1	34662.0	49753.0	32264.0	23289.0	49370.0	38499.0	52821.0	30389.0
ENSMUSG00000032845	Alpk2	75.0	146.0	123.0	108.0	158.0	122.0	94.0	66.0
ENSMUSG00000053465	Hs6st3	2.0	4.0	0.0	0.0	2.0	1.0	1.0	1.0
ENSMUSG00000114483	Gm49144	0.0	2.0	2.0	1.0	2.0	3.0	6.0	3.0
ENSMUSG00000028452	Vcp	7796.0	10045.0	7051.0	5044.0	10229.0	7507.0	11301.0	6666.0
ENSMUSG00000033036	Gm7879	49.0	62.0	36.0	13.0	69.0	63.0	108.0	51.0
ENSMUSG00000035621	Midn	1440.0	1764.0	1241.0	1074.0	1832.0	1265.0	1494.0	895.0
ENSMUSG00000102234	Gm37885	7.0	10.0	3.0	13.0	11.0	7.0	11.0	11.0
ENSMUSG00000025314	Ptprj	2145.0	2662.0	1944.0	1393.0	2638.0	2043.0	2332.0	1503.0
ENSMUSG00000061894	Zscan20	61.0	79.0	57.0	46.0	84.0	66.0	90.0	72.0
ENSMUSG00000076925	Traj3	8.0	9.0	6.0	7.0	13.0	6.0	7.0	4.0
ENSMUSG00000116606	Gm10479	1.0	5.0	3.0	3.0	8.0	0.0	2.0	4.0
ENSMUSG00000032024	Clmp	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
ENSMUSG00000035367	Rmi1	492.0	593.0	432.0	306.0	647.0	471.0	635.0	371.0
ENSMUSG00000044006	Cilp2	180.0	231.0	74.0	72.0	155.0	153.0	185.0	127.0
ENSMUSG00000079436	Kcnj13	3.0	4.0	7.0	4.0	11.0	4.0	11.0	5.0
ENSMUSG00000033713	Foxn3	3360.0	3736.0	2836.0	2335.0	4104.0	2905.0	4341.0	2610.0
ENSMUSG00000027333	Smox	943.0	1784.0	1037.0	961.0	1233.0	1019.0	1450.0	878.0
ENSMUSG00000031365	Zfp275	176.0	224.0	134.0	117.0	219.0	169.0	233.0	127.0
ENSMUSG00000079304	Tex52	0.0	2.0	0.0	1.0	3.0	3.0	2.0	1.0
ENSMUSG00000020758	Itgb4	10.0	20.0	10.0	4.0	20.0	15.0	26.0	8.0
ENSMUSG00000037210	Fam193a	980.0	1275.0	882.0	649.0	1305.0	1046.0	1457.0	788.0
ENSMUSG00000028108	Ecm1	42.0	42.0	35.0	39.0	57.0	31.0	49.0	40.0
ENSMUSG00000100954	Gm10138	157.0	187.0	130.0	111.0	176.0	148.0	175.0	114.0
ENSMUSG00000013076	Amotl1	6.0	4.0	0.0	3.0	6.0	0.0	1.0	2.0
ENSMUSG00000025171	Ubtd1	53.0	59.0	50.0	30.0	62.0	48.0	64.0	48.0
ENSMUSG00000018923	Med11	1526.0	2283.0	1506.0	1098.0	2347.0	1845.0	2548.0	1447.0
ENSMUSG00000020739	Nup85	936.0	1134.0	727.0	528.0	1119.0	825.0	1179.0	728.0
ENSMUSG00000002014	Ssr4	10366.0	15366.0	9933.0	6871.0	14835.0	11546.0	15284.0	9472.0
ENSMUSG00000028524	Sgip1	18.0	33.0	16.0	12.0	19.0	20.0	12.0	27.0
ENSMUSG00000026926	Pmpca	1299.0	1678.0	1075.0	879.0	1718.0	1293.0	1752.0	1049.0
ENSMUSG00000087684	1200007C13Rik	4.0	3.0	2.0	3.0	2.0	4.0	6.0	4.0
ENSMUSG00000039787	Cercam	65.0	97.0	66.0	56.0	106.0	73.0	92.0	52.0
ENSMUSG00000112728	Gm48903	6.0	9.0	6.0	6.0	9.0	5.0	8.0	10.0
ENSMUSG00000039849	Pcif1	2326.0	3258.0	2221.0	1584.0	2903.0	2498.0	3360.0	2005.0
ENSMUSG00000034438	Gbp8	1430.0	1569.0	1064.0	802.0	1899.0	1144.0	1420.0	876.0
ENSMUSG00000073394	Runx2os1	566.0	680.0	515.0	382.0	655.0	567.0	677.0	384.0
ENSMUSG00000024091	Vapa	4713.0	6315.0	4209.0	3236.0	6410.0	5139.0	6554.0	4166.0
ENSMUSG00000021738	Atxn7	1205.0	1670.0	1065.0	852.0	1407.0	1395.0	1659.0	1159.0
ENSMUSG00000039050	Osbpl2	537.0	755.0	466.0	379.0	692.0	546.0	700.0	441.0
ENSMUSG00000039220	Ppp1r10	900.0	1354.0	870.0	552.0	1188.0	1010.0	1726.0	1175.0
ENSMUSG00000018166	Erbb3	12.0	86.0	29.0	23.0	62.0	36.0	112.0	5.0
ENSMUSG00000031700	Gpt2	5.0	17.0	8.0	8.0	14.0	15.0	14.0	14.0
ENSMUSG00000028838	Extl1	0.0	1.0	1.0	1.0	6.0	1.0	0.0	1.0
ENSMUSG00000108903	Gm45029	2.0	1.0	4.0	0.0	1.0	0.0	6.0	3.0
ENSMUSG00000052920	Prkg1	8.0	5.0	0.0	5.0	1.0	8.0	2.0	4.0
ENSMUSG00000109511	Nup62	608.0	858.0	545.0	448.0	750.0	698.0	954.0	671.0
ENSMUSG00000054446	Cpa1	0.0	2.0	1.0	0.0	6.0	1.0	1.0	0.0
ENSMUSG00000027018	Hat1	1668.0	2121.0	1451.0	985.0	2112.0	1852.0	2470.0	1451.0
ENSMUSG00000053030	Spink2	11.0	11.0	5.0	4.0	11.0	9.0	10.0	17.0
ENSMUSG00000094248	Hist1h2ao	4.0	3.0	1.0	2.0	2.0	4.0	0.0	0.0
ENSMUSG00000021009	Ptpn21	47.0	63.0	51.0	32.0	68.0	50.0	89.0	70.0
ENSMUSG00000079602	9230102O04Rik	2.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0
ENSMUSG00000066938	Gm10190	16.0	10.0	12.0	5.0	11.0	17.0	26.0	10.0
ENSMUSG00000097320	Tmem147os	71.0	86.0	76.0	57.0	89.0	55.0	73.0	56.0
ENSMUSG00000000056	Narf	990.0	1075.0	833.0	617.0	1245.0	735.0	901.0	476.0
ENSMUSG00000033554	Dph5	648.0	838.0	571.0	403.0	910.0	695.0	864.0	480.0
ENSMUSG00000010797	Wnt2	1.0	2.0	1.0	3.0	0.0	2.0	2.0	2.0
ENSMUSG00000090232	Gm16132	0.0	0.0	2.0	1.0	1.0	0.0	2.0	1.0
ENSMUSG00000096977	Gm10827	30.0	43.0	31.0	21.0	33.0	35.0	41.0	44.0
ENSMUSG00000032194	Kank2	0.0	0.0	2.0	2.0	0.0	0.0	4.0	0.0
ENSMUSG00000059974	Ntm	3.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0
ENSMUSG00000026812	Tsc1	522.0	652.0	429.0	352.0	661.0	566.0	650.0	513.0
ENSMUSG00000027012	Dync1i2	1496.0	2104.0	1429.0	1019.0	2365.0	1840.0	2240.0	1374.0
ENSMUSG00000039148	Sart1	945.0	1490.0	1011.0	729.0	1409.0	1141.0	1394.0	933.0
ENSMUSG00000116564	Riok2	928.0	1308.0	765.0	680.0	1300.0	1054.0	1480.0	912.0
ENSMUSG00000020424	Castor1	119.0	134.0	114.0	82.0	140.0	111.0	125.0	91.0
ENSMUSG00000019579	Mydgf	2069.0	2828.0	1811.0	1301.0	2976.0	2245.0	3153.0	1741.0
ENSMUSG00000045518	Onecut3	12.0	12.0	5.0	7.0	12.0	6.0	19.0	18.0
