gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000039372	March4	0.0	2.0	1.0	1.0	1.0	2.0	0.0	1.0
ENSMUSG00000022897	Dyrk1a	202.0	191.0	109.0	73.0	154.0	90.0	196.0	226.0
ENSMUSG00000038811	Gngt2	500.0	503.0	260.0	196.0	380.0	194.0	394.0	406.0
ENSMUSG00000003161	Sri	2819.0	3040.0	1493.0	1339.0	2390.0	1450.0	3170.0	2988.0
ENSMUSG00000032540	Abhd5	191.0	198.0	92.0	83.0	115.0	90.0	209.0	228.0
ENSMUSG00000022186	Oxct1	666.0	751.0	368.0	307.0	613.0	379.0	707.0	653.0
ENSMUSG00000043687	1190005I06Rik	2.0	3.0	1.0	3.0	2.0	1.0	3.0	2.0
ENSMUSG00000086008	Gm8817	20.0	11.0	3.0	5.0	15.0	8.0	11.0	16.0
ENSMUSG00000025747	Tyms	268.0	276.0	125.0	101.0	205.0	137.0	318.0	296.0
ENSMUSG00000042489	Clspn	94.0	81.0	57.0	34.0	69.0	52.0	89.0	92.0
ENSMUSG00000030717	Nupr1	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000035521	Gnptg	918.0	882.0	443.0	408.0	661.0	383.0	984.0	1070.0
ENSMUSG00000085174	Gm16206	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0
ENSMUSG00000027199	Gatm	2.0	3.0	2.0	2.0	2.0	4.0	1.0	1.0
ENSMUSG00000033313	Fbxl8	160.0	166.0	86.0	68.0	113.0	76.0	147.0	171.0
ENSMUSG00000019082	Slc25a22	262.0	204.0	161.0	141.0	205.0	153.0	283.0	233.0
ENSMUSG00000029452	Tmem116	10.0	7.0	4.0	4.0	5.0	2.0	7.0	9.0
ENSMUSG00000086220	Gm16599	12.0	14.0	4.0	8.0	4.0	4.0	14.0	17.0
ENSMUSG00000062867	Impdh2	1066.0	1234.0	622.0	471.0	841.0	557.0	1140.0	1271.0
ENSMUSG00000046688	Tifa	19.0	23.0	8.0	9.0	21.0	13.0	21.0	30.0
ENSMUSG00000090812	Samd15	8.0	10.0	2.0	5.0	4.0	5.0	7.0	10.0
ENSMUSG00000027006	Dnajc10	138.0	107.0	70.0	74.0	90.0	53.0	141.0	135.0
ENSMUSG00000114638	Gm31834	1.0	1.0	2.0	1.0	2.0	1.0	1.0	3.0
ENSMUSG00000024299	Adamts10	187.0	188.0	94.0	77.0	153.0	94.0	184.0	208.0
ENSMUSG00000015377	Dennd6b	30.0	51.0	21.0	17.0	28.0	12.0	32.0	34.0
ENSMUSG00000030602	Pak4	42.0	28.0	20.0	17.0	23.0	27.0	47.0	34.0
ENSMUSG00000118100	Gm50340	28.0	14.0	10.0	6.0	23.0	9.0	22.0	23.0
ENSMUSG00000027341	Tmem230	301.0	261.0	154.0	141.0	233.0	136.0	297.0	249.0
ENSMUSG00000087633	Gm14455	12.0	7.0	5.0	10.0	9.0	8.0	17.0	13.0
ENSMUSG00000040455	Usp45	87.0	64.0	33.0	32.0	39.0	24.0	71.0	78.0
ENSMUSG00000085201	Nr6a1os	1.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0
ENSMUSG00000116581	Gm46565	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ENSMUSG00000045932	Ifit2	804.0	739.0	476.0	391.0	734.0	491.0	1076.0	746.0
ENSMUSG00000031812	Map1lc3b	2710.0	3109.0	1448.0	1316.0	1927.0	1369.0	3001.0	3739.0
ENSMUSG00000070871	Ccnyl1	46.0	49.0	37.0	25.0	26.0	27.0	54.0	58.0
ENSMUSG00000026553	Copa	699.0	679.0	366.0	321.0	568.0	333.0	762.0	800.0
ENSMUSG00000022742	Cpox	111.0	76.0	60.0	35.0	82.0	71.0	118.0	123.0
ENSMUSG00000027099	Mtx2	154.0	161.0	76.0	53.0	134.0	77.0	204.0	166.0
ENSMUSG00000106127	4930520M14Rik	2.0	1.0	2.0	0.0	2.0	1.0	1.0	1.0
ENSMUSG00000022941	Ripply3	34.0	42.0	8.0	13.0	33.0	30.0	43.0	35.0
ENSMUSG00000019883	Echdc1	61.0	45.0	28.0	23.0	36.0	25.0	51.0	65.0
ENSMUSG00000085857	Gm15392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000086537	Gnasas1	10.0	8.0	5.0	8.0	10.0	3.0	17.0	11.0
ENSMUSG00000109168	Gm44709	7.0	10.0	4.0	1.0	3.0	0.0	3.0	3.0
ENSMUSG00000045287	Rtn4rl1	82.0	38.0	26.0	25.0	30.0	14.0	41.0	62.0
ENSMUSG00000026245	Farsb	262.0	238.0	174.0	108.0	257.0	99.0	334.0	314.0
ENSMUSG00000054679	Srsf12	2.0	1.0	1.0	1.0	2.0	1.0	6.0	0.0
ENSMUSG00000096991	Gm26789	3.0	1.0	2.0	3.0	3.0	1.0	3.0	2.0
ENSMUSG00000076437	Selenoh	858.0	944.0	529.0	379.0	716.0	444.0	1127.0	979.0
ENSMUSG00000045777	Ifitm10	402.0	289.0	172.0	160.0	203.0	132.0	291.0	298.0
ENSMUSG00000097047	1110020A21Rik	6.0	6.0	4.0	6.0	5.0	3.0	12.0	9.0
ENSMUSG00000024561	Mbd1	191.0	209.0	122.0	94.0	135.0	105.0	235.0	277.0
ENSMUSG00000054612	Mgmt	6.0	9.0	1.0	2.0	5.0	3.0	2.0	13.0
ENSMUSG00000027809	Etfdh	240.0	211.0	118.0	102.0	147.0	99.0	238.0	271.0
ENSMUSG00000028278	Rragd	6.0	5.0	5.0	0.0	8.0	2.0	6.0	9.0
ENSMUSG00000061510	Gm10101	8.0	13.0	9.0	2.0	6.0	3.0	11.0	18.0
ENSMUSG00000032606	Nicn1	4.0	10.0	1.0	2.0	3.0	8.0	3.0	4.0
ENSMUSG00000106918	Mrpl33	2097.0	2134.0	1175.0	915.0	1692.0	1008.0	2054.0	2257.0
ENSMUSG00000104509	Gm33994	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ENSMUSG00000069727	Zfp975	6.0	8.0	7.0	7.0	10.0	7.0	11.0	6.0
ENSMUSG00000051354	Samd3	207.0	202.0	108.0	106.0	166.0	87.0	207.0	192.0
ENSMUSG00000029111	Nelfa	205.0	217.0	124.0	82.0	150.0	96.0	248.0	245.0
ENSMUSG00000029138	4930548H24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000005687	Bcas2	1153.0	1214.0	580.0	486.0	875.0	596.0	1255.0	1198.0
ENSMUSG00000038708	Golga4	286.0	268.0	152.0	134.0	219.0	146.0	275.0	268.0
ENSMUSG00000039539	Sgcz	0.0	0.0	0.0	0.0	0.0	3.0	2.0	2.0
