gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000003421	Nosip	3468.0	4585.0	3107.0	2649.0	4142.0	3610.0	4878.0	3623.0
ENSMUSG00000019539	Rcn3	817.0	923.0	824.0	852.0	1416.0	1306.0	882.0	944.0
ENSMUSG00000109947	Gm45669	177.0	190.0	177.0	199.0	244.0	327.0	146.0	240.0
ENSMUSG00000003420	Fcgrt	293.0	281.0	434.0	368.0	266.0	254.0	264.0	347.0
ENSMUSG00000110279	Gm45552	820.0	865.0	957.0	1158.0	819.0	1209.0	970.0	1026.0
ENSMUSG00000003429	Rps11	270318.0	408666.0	275515.0	233264.0	373911.0	333379.0	380362.0	318862.0
ENSMUSG00000074129	Rpl13a	133480.0	202355.0	130905.0	123544.0	184351.0	172658.0	179597.0	167482.0
ENSMUSG00000110206	Flt3l	5369.0	6018.0	4898.0	3401.0	5960.0	3848.0	5690.0	4210.0
ENSMUSG00000007833	Aldh16a1	701.0	945.0	759.0	548.0	957.0	796.0	1103.0	789.0
ENSMUSG00000003423	Pih1d1	1437.0	1900.0	1494.0	1073.0	1914.0	1459.0	1965.0	1472.0
ENSMUSG00000038292	Ccdc155	14.0	14.0	13.0	9.0	8.0	10.0	20.0	9.0
ENSMUSG00000030792	Dkkl1	841.0	1188.0	881.0	480.0	951.0	815.0	1192.0	841.0
ENSMUSG00000030798	Cd37	13606.0	16872.0	12421.0	10050.0	16064.0	12786.0	16802.0	12624.0
ENSMUSG00000038260	Trpm4	283.0	420.0	262.0	220.0	302.0	288.0	357.0	230.0
ENSMUSG00000063511	Snrnp70	8840.0	11413.0	8124.0	6852.0	11257.0	9140.0	11787.0	9038.0
ENSMUSG00000038201	Kcna7	5.0	20.0	9.0	11.0	12.0	9.0	14.0	5.0
ENSMUSG00000074121	Ntf5	385.0	645.0	247.0	242.0	490.0	329.0	486.0	573.0
ENSMUSG00000003868	Ruvbl2	2135.0	2968.0	1840.0	1479.0	2909.0	2253.0	3044.0	2485.0
ENSMUSG00000003865	Gys1	591.0	770.0	428.0	360.0	761.0	505.0	633.0	566.0
ENSMUSG00000050708	Ftl1	49373.0	65326.0	44681.0	48732.0	56416.0	61656.0	56841.0	61618.0
ENSMUSG00000003873	Bax	10347.0	13793.0	8804.0	6966.0	13182.0	10519.0	14619.0	11089.0
ENSMUSG00000011382	Dhdh	44.0	64.0	43.0	22.0	75.0	55.0	85.0	65.0
